text,label
Send BTC to this address for guaranteed returns!,1
Enjoying a relaxing day at home!,0
Feeling motivated to start a new project!,0
Click here to get free Bitcoin!,1
Click here to get free Bitcoin!,1
Exclusive offer: Buy our new token now!,1
Celebrating a small victory today!,0
Enjoying a relaxing day at home!,0
Invest in this new crypto token and make millions!,1
Excited about the new season of my favorite show!,0
Click here to get free Bitcoin!,1
Celebrating a small victory today!,0
Invest in this new crypto token and make millions!,1
Happy Birthday to my best friend!,0
Looking forward to the weekend!,0
Exclusive offer: Buy our new token now!,1
"Lovely weather today, feeling great!",0
Transfer crypto to my wallet for a chance to win big!,1
Earn crypto rewards by clicking this link!,1
Looking forward to the weekend!,0
Earn crypto rewards by clicking this link!,1
"This new token is the next big thing, buy now!",1
Excited about the new season of my favorite show!,0
Just had the best coffee ever!,0
Invest in this new crypto token and make millions!,1
Send me your ETH and I'll double it!,1
"This new token is the next big thing, buy now!",1
Had a wonderful time with friends!,0
Happy Birthday to my best friend!,0
Click here to get free Bitcoin!,1
Feeling motivated to start a new project!,0
"This new token is the next big thing, buy now!",1
Excited about the new season of my favorite show!,0
Excited about the new season of my favorite show!,0
"This new token is the next big thing, buy now!",1
Send me your ETH and I'll double it!,1
Send BTC to this address for guaranteed returns!,1
Invest in this new crypto token and make millions!,1
Happy Birthday to my best friend!,0
Send BTC to this address for guaranteed returns!,1
Join our crypto investment scheme and profit!,1
"This new token is the next big thing, buy now!",1
Celebrating a small victory today!,0
Transfer crypto to my wallet for a chance to win big!,1
Exclusive offer: Buy our new token now!,1
Earn crypto rewards by clicking this link!,1
Send me your ETH and I'll double it!,1
Excited about the new season of my favorite show!,0
Looking forward to the weekend!,0
Send me your ETH and I'll double it!,1
Happy Birthday to my best friend!,0
Looking forward to the weekend!,0
Happy Birthday to my best friend!,0
Send me your ETH and I'll double it!,1
Click here to get free Bitcoin!,1
Send me your ETH and I'll double it!,1
Invest in crypto and watch your money grow!,1
Looking forward to the weekend!,0
Click here to get free Bitcoin!,1
Click here to get free Bitcoin!,1
Exclusive offer: Buy our new token now!,1
Invest in this new crypto token and make millions!,1
