text,label
Send me your ETH and I'll double it!,1
Just had the best coffee ever!,0
Click here to get free Bitcoin!,1
"Lovely weather today, feeling great!",0
Invest in this new crypto token and make millions!,1
Had a wonderful time with friends!,0
Transfer crypto to my wallet for a chance to win big!,1
Looking forward to the weekend!,0
Exclusive offer: Buy our new token now!,1
Happy Birthday to my best friend!,0
Join our crypto investment scheme and profit!,1
Just completed a 5K run!,0
Earn crypto rewards by clicking this link!,1
Feeling motivated to start a new project!,0
"This new token is the next big thing, buy now!",1
Enjoying a relaxing day at home!,0
Send BTC to this address for guaranteed returns!,1
Celebrating a small victory today!,0
Invest in crypto and watch your money grow!,1
