text,label
Excited about the new season of my favorite show!,0
Looking forward to the weekend!,0
Just had the best coffee ever!,0
Feeling motivated to start a new project!,0
Join my fan club for adult content!,1
Feeling motivated to start a new project!,0
"Hot singles in your area, click here!",1
Feeling motivated to start a new project!,0
"Lovely weather today, feeling great!",0
Check out my private pics!,1
Subscribe for explicit photos!,1
Check out my private pics!,1
Get access to my private snaps!,1
Subscribe for explicit photos!,1
Celebrating a small victory today!,0
Subscribe for explicit photos!,1
Join my fan club for adult content!,1
Get access to my private snaps!,1
"Hot singles in your area, click here!",1
Had a wonderful time with friends!,0
Private videos available for subscribers!,1
Join my fan club for adult content!,1
Just completed a 5K run!,0
Join my fan club for adult content!,1
"Hot singles in your area, click here!",1
Join now for steamy content!,1
Just had the best coffee ever!,0
Excited about the new season of my favorite show!,0
Looking forward to the weekend!,0
Check out my private pics!,1
Happy Birthday to my best friend!,0
Join my fan club for adult content!,1
Check out my private pics!,1
Feeling motivated to start a new project!,0
Private videos available for subscribers!,1
Join my fan club for adult content!,1
Had a wonderful time with friends!,0
Just completed a 5K run!,0
Had a wonderful time with friends!,0
Subscribe for explicit photos!,1
Excited about the new season of my favorite show!,0
Subscribe for explicit photos!,1
Just completed a 5K run!,0
Join now for steamy content!,1
Private videos available for subscribers!,1
Celebrating a small victory today!,0
Happy Birthday to my best friend!,0
Enjoying a relaxing day at home!,0
Just completed a 5K run!,0
Private videos available for subscribers!,1
Check out my private pics!,1
Join my fan club for adult content!,1
Just completed a 5K run!,0
Check out my private pics!,1
Feeling motivated to start a new project!,0
Watch my exclusive videos now!,1
"Lovely weather today, feeling great!",0
Feeling motivated to start a new project!,0
Happy Birthday to my best friend!,0
Click here for a sexy chat!,1
"Lovely weather today, feeling great!",0
Feeling motivated to start a new project!,0
Excited about the new season of my favorite show!,0
Celebrating a small victory today!,0
Excited about the new season of my favorite show!,0
Happy Birthday to my best friend!,0
"Hot singles in your area, click here!",1
Click here for a sexy chat!,1
Watch my exclusive videos now!,1
Check out my private pics!,1
Subscribe for explicit photos!,1
